SMILES,logKow
Cc1cccc(C)c1NC(=O)CN(C)C,0.94
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,4.19
COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,0.4
Cc1cccc(Cl)c1C(=O)O,2.31
CC(=O)Nc1c(C)cccc1Cl,1.22
CC(=O)Nc1cnccn1,-0.03
CCNC(=O)c1ccco1,0.61
CCC1(c2ccccc2)C(O)=NC(=O)N1S(=O)(=O)c1ccccc1,2.44
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccccc1,4.04
O=C1N=C(O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,4.04
Cc1nc(Br)c([N+](=O)[O-])n1C,0.87
CN(C)N=Nc1n[nH]cc1C(=N)O,-0.12
CN(N=O)C(=O)Nc1ccccc1,1.72
N#CSCSc1nc2ccccc2s1,3.3
S=C1CCCCCCCN1,1.44
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,-1.15
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,6.31
N#Cc1ccc(NC(=O)N=C(N)N)cc1Cl,1.9
CCCCCCCCCCCc1cccc(O)c1O,6.3
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,2.22
C[N+](C)(C)CC1CCCC1,-2
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,2.24
CC(=O)OC(c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,4.92
C=CCOCC(O)Cn1ccnc1[N+](=O)[O-],0.4
O=[N+]([O-])c1nccn1CC(O)COCC(F)(F)F,0.52
COCC(=O)Cn1ccnc1[N+](=O)[O-],-0.26
O=[N+]([O-])c1nccn1CC(O)COc1ccccc1,1.43
CCOC(=O)n1cc(F)c(=O)[nH]c1=O,-0.17
CCOP(=S)(OCC)Oc1ccc(SC)c(Cl)c1,5.06
COc1cccc(OC)c1C(=N)O,-0.22
O=[N+]([O-])c1cc2ccccc2nn1,0.73
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,1.96
NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-0.02
CSc1cnccn1,1.17
CSc1cnc2ccccc2n1,2.79
Nc1nc(C=Cc2ccc([N+](=O)[O-])o2)no1,1.3
NS(=O)(=O)c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.73
CNC(=O)Oc1ccc(C(=O)OC)cc1,1.5
CCc1cc(OC)c(CC(C)N)cc1OC,2.81
NNC(=O)c1ccc2c(c1)OCO2,1.16
Brc1ccoc1,2.18
O=Cc1ccc(OCC(=O)O)cc1,0.79
CC(=O)c1cnccn1,0.2
NC1(C(=O)O)CC1,-2.78
C=CCOc1ccc(CC(=O)O)cc1Cl,2.48
ClC1CC(Cl)C(Cl)C(Cl)C1Cl,3.53
CNC(=O)Nc1ccc(C)c(Cl)c1,2.61
CCOC(=O)CNC(=O)CNC(=O)CCCCSc1ncnc2nc[nH]c12,0.5
O=C1NC(=O)C(c2ccccc2)C(=O)N1,-0.17
CC(C)c1nnc(S)n(N)c1=O,1.22
Cn1nnc2ccccc2c1=O,0.84
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.12
O=C(c1ccccc1Cl)N1CCCCC1,2.8
CCCCCCC(=O)NN,0.97
CC(N)CCc1ccccc1,2.12
CC(CN1CCCCC1)C(=O)c1ccccc1,3.51
Cc1cc(O)c(N(C)C)nn1,0.24
CCOC(=O)C(=Cc1ccc([N+](=O)[O-])cc1)C(=O)OCC,3.03
CCOC(=O)C(=Cc1ccc(Br)cc1)C(=O)OCC,4.02
NC(=O)CCOc1ccccc1,0.8
CC(=O)Nc1ccc2ncccc2c1,1.55
O=[N+]([O-])c1ccc2c(c1)-c1ccc([N+](=O)[O-])c3cccc-2c13,4.44
O=C(c1ccncc1)c1ccccc1O,2.13
O=C1CC(=O)C(c2ccccc2)O1,1.47
